學年,學期,國家,學校,學院,學系
106年度,一學期,西班牙,巴塞隆納自治大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學年,日本,大阪大學,文學院,日本語文學系
106年度,一學期,德國,魯耳波洪大學,文學院,外國語文學系
106年度,一學年,日本,名古屋大學,電機資訊學院,資訊工程學系
106年度,一學期,中國大陸,中國人民大學,文學院,歷史學系
106年度,一學年,德國,魯耳波洪大學,文學院,外國語文學系
106年度,一學期,挪威,奧斯陸大學,法律學院,法律學系
106年度,一學年,美國,康乃狄克大學,管理學院,會計學系
106年度,一學年,美國,馬里蘭大學,理學院,地質科學系
106年度,一學年,西班牙,巴塞隆納自治大學,文學院,外國語文學系
106年度,一學期,加拿大,加拿大英屬哥倫比亞大學(卑詩大學),理學院,心理學系
106年度,一學期,加拿大,西門菲沙大學,電機資訊學院,電機工程學系
106年度,一學期,法國,巴黎高等政治學院,文學院,外國語文學系
106年度,一學年,美國,亞利桑那州立大學,管理學院,財務金融學系
106年度,一學期,巴西,里約熱內盧天主教大學,生物資源暨農學院,昆蟲學系
106年度,一學期,美國,加州州立大學,文學院,中國文學系
106年度,一學期,西班牙,馬德里大學,文學院,外國語文學系
106年度,一學年,奧地利,林茲大學,管理學院,國際企業學系
106年度,一學期,中國大陸,北京大學,社會科學院,政治學系
106年度,一學期,法國,巴黎高等政治學院,管理學院,財務金融學系
106年度,一學期,德國,漢堡大學,社會科學院,政治學系
106年度,一學期,美國,夏威夷太平洋大學,文學院,戲劇學系
106年度,一學年,美國,天普大學,社會科學院,經濟學系
106年度,一學期,香港,香港城市大學,生物資源暨農學院,生物環境系統工程學系
106年度,一學期,香港,嶺南大學,文學院,戲劇學系
106年度,一學期,澳大利亞,格里菲斯大學,生命科學院,生化科技學系
106年度,一學年,美國,新澤西州立羅格斯大學,生命科學院,生化科技學系
106年度,一學期,香港,香港中文大學,文學院,外國語文學系
106年度,一學年,日本,琉球大學,文學院,日本語文學系
106年度,一學期,德國,波昂大學,生物資源暨農學院,植物病理與微生物學系
106年度,一學年,奧地利,林茲大學,文學院,圖書資訊學系
106年度,一學年,德國,柏林洪堡大學,文學院,哲學系
106年度,一學年,南韓,成均館大學,法律學院,法律學系
106年度,一學年,日本,東北大學,生物資源暨農學院,園藝暨景觀學系
106年度,一學期,英國,曼徹斯特大學,社會科學院,社會學系
106年度,一學年,澳大利亞,澳洲國立大學,管理學院,國際企業學系
106年度,一學期,日本,東京大學,社會科學院,社會學系
106年度,一學期,日本,東京大學,社會科學院,政治學系
106年度,一學期,美國,伊利諾大學香檳分校,生物資源暨農學院,園藝暨景觀學系
106年度,一學期,美國,伊利諾大學香檳分校,生物資源暨農學院,園藝暨景觀學系
106年度,一學期,美國,伊利諾大學香檳分校,生物資源暨農學院,園藝暨景觀學系
105年度,一學年,法國,巴黎西大學農泰爾拉德芳斯 (巴黎第十大學),文學院,外國語文學系
105年度,一學年,日本,日本大學,生物資源暨農學院,生物產業傳播暨發展學系
105年度,一學期,中國大陸,蘭州大學,文學院,人類學系
105年度,一學年,日本,國際教養大學,文學院,戲劇學系
105年度,一學年,日本,琉球大學,理學院,地質科學系
105年度,一學年,法國,雷恩第一大學 (原翰尼第一大學),文學院,中國文學系
105年度,一學年,香港,香港中文大學,文學院,中國文學系
105年度,一學年,日本,上智大學,文學院,外國語文學系
105年度,一學年,奧地利,維也納大學,文學院,外國語文學系
105年度,一學期,美國,馬里蘭大學,文學院,外國語文學系
105年度,一學年,英國,南安普頓大學,文學院,外國語文學系
105年度,一學期,美國,北卡羅來納大學教堂山分校,文學院,外國語文學系
105年度,一學年,澳大利亞,澳洲國立大學,文學院,外國語文學系
105年度,一學期,中國大陸,南京大學,文學院,外國語文學系
105年度,一學年,美國,喬治亞大學,文學院,外國語文學系
105年度,一學期,荷蘭,阿姆斯特丹自由大學,文學院,外國語文學系
105年度,一學年,南韓,成均館大學,文學院,外國語文學系
105年度,一學年,加拿大,蒙特婁大學,文學院,外國語文學系
105年度,一學年,泰國,國立法政大學,文學院,外國語文學系
105年度,一學期,荷蘭,萊頓大學,文學院,外國語文學系
105年度,一學期,芬蘭,赫爾辛基大學,文學院,外國語文學系
105年度,一學年,馬來西亞,馬來西亞理科大學(USM),文學院,外國語文學系
105年度,一學期,德國,斯圖加特大學,文學院,歷史學系
105年度,一學年,加拿大,加拿大英屬哥倫比亞大學(卑詩大學),文學院,歷史學系
105年度,一學年,日本,琉球大學,文學院,歷史學系
105年度,一學年,瑞典,烏普薩拉大學,文學院,歷史學系
105年度,一學期,南韓,梨花女子大學,文學院,歷史學系
105年度,一學年,法國,雷恩第一大學 (原翰尼第一大學),文學院,哲學系
105年度,一學年,美國,北卡羅來納大學教堂山分校,文學院,哲學系
105年度,一學期,加拿大,愛德華王子島大學,文學院,人類學系
105年度,一學期,中國大陸,北京大學,文學院,歷史學系
105年度,一學期,中國大陸,北京大學,文學院,人類學系
105年度,一學年,加拿大,加拿大英屬哥倫比亞大學(卑詩大學),文學院,人類學系
105年度,一學期,美國,夏威夷大學瑪諾亞分校,文學院,人類學系
105年度,一學期,英國,南安普頓大學,文學院,圖書資訊學系
105年度,一學期,德國,卡爾斯魯爾理工學院,文學院,圖書資訊學系
105年度,一學年,日本,京都大學,文學院,日本語文學系
105年度,一學期,日本,同志社大學,文學院,日本語文學系
105年度,一學年,日本,東北大學,文學院,日本語文學系
105年度,一學期,南韓,漢陽大學,文學院,日本語文學系
105年度,一學期,中國大陸,北京大學,生物資源暨農學院,生物產業傳播暨發展學系
105年度,一學年,日本,東京學藝大學,文學院,戲劇學系
105年度,一學年,法國,里爾天主教大學,文學院,戲劇學系
105年度,一學期,南韓,首爾國立大學,理學院,化學系
105年度,一學年,奧地利,林茲大學,理學院,化學系
105年度,一學期,德國,亞亨工業大學,電機資訊學院,電機工程學系
105年度,一學年,法國,索邦大學（原皮耶及瑪麗居禮大學 ),理學院,化學系
105年度,一學年,德國,斯圖加特大學,理學院,化學系
105年度,一學期,冰島,冰島大學,理學院,地質科學系
105年度,一學期,香港,香港大學,社會科學院,經濟學系
105年度,一學期,德國,烏爾姆大學,理學院,化學系
105年度,一學期,日本,東京工業大學,工學院,機械工程學系
105年度,一學期,中國大陸,天津大學,理學院,心理學系
105年度,一學期,英國,愛丁堡大學,理學院,心理學系
105年度,一學期,香港,香港理工大學,理學院,心理學系
105年度,一學年,日本,慶應義塾大學,理學院,地理環境資源學系
105年度,一學期,比利時,布魯塞爾自由大學,社會科學院,政治學系
105年度,一學期,英國,愛丁堡大學,社會科學院,政治學系
105年度,一學年,美國,奧克拉荷瑪大學,社會科學院,政治學系
105年度,一學年,南韓,延世大學,社會科學院,政治學系
105年度,一學年,荷蘭,馬斯垂克大學,社會科學院,經濟學系
105年度,一學年,德國,艾朗根紐倫堡大學,社會科學院,政治學系
105年度,一學年,葡萄牙,波爾圖大學,社會科學院,政治學系
105年度,一學年,美國,奧克拉荷瑪大學,社會科學院,政治學系
105年度,一學期,南韓,梨花女子大學,社會科學院,政治學系
105年度,一學期,香港,香港中文大學,社會科學院,政治學系
105年度,一學期,丹麥,哥本哈根大學,社會科學院,政治學系
105年度,一學期,中國大陸,哈爾濱工業大學,社會科學院,政治學系
105年度,一學期,中國大陸,北京大學,社會科學院,政治學系
105年度,一學期,加拿大,西門菲沙大學,社會科學院,政治學系
105年度,一學年,德國,柏林洪堡大學,社會科學院,政治學系
105年度,一學年,法國,雷恩第一大學 (原翰尼第一大學),社會科學院,政治學系
105年度,一學期,芬蘭,赫爾辛基大學,社會科學院,政治學系
105年度,一學期,澳大利亞,新南威爾斯大學,社會科學院,經濟學系
105年度,一學年,德國,柏林自由大學,社會科學院,經濟學系
105年度,一學年,日本,北海道大學,社會科學院,社會學系
105年度,一學期,香港,香港大學,社會科學院,經濟學系
105年度,一學期,澳大利亞,新南威爾斯大學,社會科學院,經濟學系
105年度,一學期,加拿大,西門菲沙大學,社會科學院,社會學系
105年度,一學期,香港,香港城市大學,生物資源暨農學院,農業經濟學系
105年度,一學年,德國,波昂大學,社會科學院,社會工作學系
105年度,一學期,中國大陸,上海交通大學,社會科學院,社會工作學系
105年度,一學年,香港,香港中文大學,生物資源暨農學院,生物產業傳播暨發展學系
105年度,一學年,捷克,馬薩里克大學,醫學院,醫學檢驗暨生物技術學系
105年度,一學期,德國,魯耳波洪大學,工學院,土木工程學系
105年度,一學期,加拿大,加拿大英屬哥倫比亞大學(卑詩大學),工學院,化學工程學系
105年度,一學期,加拿大,滑鐵盧大學,工學院,土木工程學系
105年度,一學年,日本,名古屋外國語大學,工學院,機械工程學系
105年度,一學年,日本,大阪大學,工學院,機械工程學系
105年度,一學期,美國,亞利桑那州立大學,工學院,化學工程學系
105年度,一學年,新加坡,南洋理工大學,工學院,化學工程學系
105年度,一學期,德國,烏爾姆大學,工學院,化學工程學系
105年度,一學年,法國,索邦大學（原皮耶及瑪麗居禮大學 ),工學院,化學工程學系
105年度,一學期,奧地利,林茲大學,工學院,材料科學與工程學系
105年度,一學期,南韓,國立釜山大學,生物資源暨農學院,生物環境系統工程學系
105年度,一學期,波蘭,華沙大學,生物資源暨農學院,森林環境暨資源學系
105年度,一學期,立陶宛,維爾紐斯大學,生物資源暨農學院,森林環境暨資源學系
105年度,一學年,加拿大,渥太華大學,生物資源暨農學院,森林環境暨資源學系
105年度,一學期,中國大陸,武漢理工大學,生物資源暨農學院,動物科學技術學系
105年度,一學年,紐西蘭,威靈頓維多利亞大學,生物資源暨農學院,動物科學技術學系
105年度,一學期,日本,筑波大學,生物資源暨農學院,動物科學技術學系
105年度,一學年,澳大利亞,格里菲斯大學,生物資源暨農學院,動物科學技術學系
105年度,一學年,日本,創價大學,生物資源暨農學院,園藝暨景觀學系
105年度,一學期,荷蘭,萊頓大學,生物資源暨農學院,園藝暨景觀學系
105年度,一學期,美國,亞利桑那州立大學,生物資源暨農學院,生物產業傳播暨發展學系
